german,english
arbeiten,to work
gehen,to go
aufwachen,to wake up
übersetzen,to translate
annektieren,to annex
zerschlagen,to crush
schlagen,to hit
essen,to eat
trinken,to drink
stoppen,to stop

fahren,to drive
reisen,to travel
steigen,to climb
ankommen,to arrive
eislaufen,to ice skate
studieren,to study
lernen,to learn
lesen,to read
spielen,to play
bauen,to build
abbauen,to tear down
machen,to do/to make
kämpfen,to fight
töten,to kill
nehmen,to take
halten,to hold
verstehen,to understand
bringen,to bring
abfahren,to depart
erreichen,to reach
kommen,to come
schlafen,to sleep
kaufen,to buy
schreiben,to write
tanzen,to dance
abholen,to pick up
werfen,to throw
tragen,to wear
waschen,to wash
zeigen,to show
küssen,to kiss
suchen,to search
kosten,to cost
regnen,to rain
heißen,to be called
beginnen,to begin
reden,to talk
anrufen,to phone
sprechen,to speak
treffen,to meet
werden,to become/will
können,to be able to
sollen,should
müssen,to have to
schaffen,to accomplish
sehen,to see
hören,to hear
atmen,to breathe
schwitzen,to sweat
träumen,to dream
empfehlen,to recommend
geben,to give
helfen,to help
planen,to plan
faxen,to fax
aufhören,to stop
teilen,to share/to divide
fallen,to fall
legen,to lay
lachen,to laugh
antworten,to answer/to reply
fragen,to ask
sagen,to say
wollen,to want to
dürfen,to be alowed to
mögen,to like
wohnen,to live
erfahren,to experience
haben,to have
sein,to be
warten,to wait
wachsen,to grow
denken,to think
leben,to live
brauchen,to need
glauben,to believe
anfangen,to start

