german,english
schön,beautiful
groß,big
klein,small
glücklich,happy
alt,old
neu,new
hässlich,ugly
anders,different
ähnlich,similar
gesund,healthy
krank,sick
langsam,slow
sauber,clean
dreckig,dirty
schnell,fast
arm,poor
reich,rich
schwach,weak
stark,strong
flach,flat
tief,deep
breit,broad
einfach,easy
schwierig,difficult
früh,early
spät,late
gemütlich,cozy
klar,clear
laut,loud
leise,quiet
natürlich,natural
warm,warm
kalt,cold
gut,good
schlecht,bad
toll,great
wundervoll,wonderful
cool,cool
fein,fine
mittelmäßig,mediocre
durchschnittlich,average
anständig,decent
furchtbar,awful
schrecklich,terrible
grottenschlecht,abysmal
wahnsinnig,amazing
fantastisch,fantastic
phänomenal,phenomenal
unglaublich,incredible
außergewöhnlich,exceptional
exzellent,excellent
super,super
perfekt,perfect
traurig,sad
nervös,nervous
entspannt,relaxed
froh,glad
fröhlich,joyful
verliebt,in love
aufgeregt,excited
überrascht,surprised
begeistert,thrilled
entzückt,delighted
euphorisch,euphoric
zufrieden,satisfied
friedlich,peaceful
genervt,irritated
wütend,angry
rasend,furious
eifersüchtig,jealous
verzweifelt,desperate
besorgt,worried
ängstlich,scared
verängstigt,terrified
beschämt,embarrassed
frustriert,frustrated
einsam,lonely
fröhlich,cheerful
dankbar,grateful
jubilierend,jubilant
vergnügt,jolly
heiter,serene
